Organisation,CityName,Country,Region,Access,C40,ReportingYear,TypeOfTarget,Sector,BaselineYear,BaselineEmissions,PercentageReductionTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Comment,CurrentPopulation,PopulationYear,CityLocation
City of Lakewood,Lakewood,USA,North America,Public,,2017,Absolute target,Total,2007,2646240,20,2025,,,This baseline was calculated using a hybrid demand-center life cycle assessment methodology and does not align with GPC standards,152589,2015,"(39.7047, -105.0814)"
City of Lakewood,Lakewood,USA,North America,Public,,2017,Absolute target,Total,2007,2646240,50,2050,,,This baseline was calculated using a hybrid demand-center life cycle assessment methodology and does not align with GPC standards,152589,2015,"(39.7047, -105.0814)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Absolute target,Total,2010,885210,15,2020,,,,161000,2015,"(40.0379, -76.3055)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Absolute target,Total,2010,885210,40,2030,,,,161000,2015,"(40.0379, -76.3055)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Absolute target,Total,2010,885210,60,2040,,,,161000,2015,"(40.0379, -76.3055)"
City of Lancaster,Lancaster,USA,North America,Public,,2017,Absolute target,Total,2010,885210,80,2050,,,,161000,2015,"(40.0379, -76.3055)"
City of Lisbon,Lisbon,Portugal,Europe,Public,,2017,Absolute target,Total,2002,3887013,40,2030,,,,547773,2011,"(38.7222524, -9.1393366)"
City of Lisbon,Lisbon,Portugal,Europe,Public,,2017,Absolute target,Transport,2002,1567000,40,2030,,,Target of 40% based on total city wide emissions target,547773,2011,"(38.7222524, -9.1393366)"
City of Lisbon,Lisbon,Portugal,Europe,Public,,2017,Absolute target,Other:,2002,2320013,40,2030,,,"Aggregation of residential, services and industrial sectors. Target of 40% based on total city wide emissions target",547773,2011,"(38.7222524, -9.1393366)"
City of Ljubljana,Ljubljana,Slovenia,Europe,Public,,2017,Absolute target,Total,2008,2660000,30,2020,,,see in previous answers,288307,2016,"(46.056947, 14.505751)"
"City of London, ON","London, ON",Canada,North America,Public,,2017,Absolute target,Total,1990,3430000,15,2020,,,"NOTE: baseline emissions are higher with the inclusion of GPC sources - domestic aviation, railways, waste disposed outside of London",381000,2015,"(42.9837, -81.2497)"
"City of London, ON","London, ON",Canada,North America,Public,,2017,Absolute target,Total,1990,3430000,37,2030,,,"NOTE: London has committed to using targets consistent with the Province of Ontario's targets. In spring 2015, Ontario announced this new mid-term reduction goal for a 37% reduction by 2030.",381000,2015,"(42.9837, -81.2497)"
"City of London, ON","London, ON",Canada,North America,Public,,2017,Absolute target,Total,1990,3430000,80,2050,,,,381000,2015,"(42.9837, -81.2497)"
City of Long Beach,Long Beach,USA,North America,Public,,2017,Absolute target,Buildings,2007,,15,2020,,,,484958,2016,"(33.7701, -118.1937)"
City of Long Beach,Long Beach,USA,North America,Public,,2017,Absolute target,Transport,2007,,10,2020,,,,484958,2016,"(33.7701, -118.1937)"
City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Absolute target,Total,1990,54000000,45,2025,,,,4030904,2016,"(34.0522342, -118.2436849)"
City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Absolute target,Total,1990,54000000,60,2035,,,,4030904,2016,"(34.0522342, -118.2436849)"
City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Absolute target,Total,1990,54000000,80,2050,,,,4030904,2016,"(34.0522342, -118.2436849)"
City of Los Angeles,Los Angeles,USA,North America,Public,C40,2017,Base year intensity target,Other: total Los Angeles economy,2009,45,55,,,Metric tonnes of CO2e per unit GDP,,4030904,2016,"(34.0522342, -118.2436849)"
City of Mannheim,Mannheim,Germany,Europe,Public,,2017,Absolute target,,1990,,40,2020,,,,312722,2015,"(49.487459, 8.466039)"
City of Medford,Medford,USA,North America,Public,,2017,Absolute target,Total,2015,465879,100,2050,,,This is a regional commitment to carbon neutrality by 2050,57437,2014,"(42.3265, -122.8756)"
City of Melbourne,Melbourne,Australia,South Asia and Oceania,Public,C40,2017,Absolute target,Total,2008,4934000,100,2020,,,We have a Zero Net Emissions by 2020 Strategy for the municipality.,136336,2015,"(-37.814107, 144.96328)"
City of Miami,Miami,USA,North America,Public,,2017,Absolute target,,2006,,25,2020,,,,413892,2014,"(25.7617, -80.1918)"
City of Minneapolis,Minneapolis,USA,North America,Public,,2017,Absolute target,Total,2006,5173279,15,2015,,,,410939,2015,"(44.983334, -93.26667)"
City of Minneapolis,Minneapolis,USA,North America,Public,,2017,Absolute target,Total,2006,5173279,30,2025,,,,410939,2015,"(44.983334, -93.26667)"
City of Minneapolis,Minneapolis,USA,North America,Public,,2017,Absolute target,Total,2006,5173279,80,2050,,,,410939,2015,"(44.983334, -93.26667)"
City of New Orleans,New Orleans,USA,North America,Public,C40,2017,Absolute target,Total,2014,3606199,50,2030,,,,391495,2017,"(29.9511, -90.0715)"
City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Absolute target,Total,2007,207530,15,2020,,,"Includes: solid waste, public transportation; private transportation; commercial buildings; residential buildings",52898,2016,"(49.32, -123.0724)"
City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Absolute target,Total,2007,207530,50,2050,,,"Includes: solid waste, public transportation; private transportation; commercial buildings; residential buildings",52898,2016,"(49.32, -123.0724)"
"City of Northampton, MA","Northampton, MA",USA,North America,Public,,2017,Absolute target,Total,2000,,30,2020,,,"Primarily using fossil fuels, not GHG, as our measurement tool because we have more (albeit still very limited) data",28549,2010,"(42.304845, -72.614446)"
City of Oakland,Oakland,USA,North America,Public,,2017,Absolute target,Total,2005,2992735,36,2020,,,,419000,2015,"(37.8044, -122.2708)"
City of Oslo,Oslo,Norway,Europe,Public,C40,2017,Absolute target,Total,1990,1200000,50,2020,,,,658390,2016,"(59.9138688, 10.7522454)"
City of Oslo,Oslo,Norway,Europe,Public,C40,2017,Absolute target,Total,1990,1200000,95,2030,,,,658390,2016,"(59.9138688, 10.7522454)"
City of Oslo,Oslo,Norway,Europe,Public,C40,2017,Absolute target,Buildings,1990,320000,100,2020,,,,658390,2016,"(59.9138688, 10.7522454)"
City of Ottawa,Ottawa,Canada,North America,Public,,2017,Absolute target,Total,2012,5420000,12,2024,,,Target end date is 2024.,934243,2016,"(45.42153, -75.697193)"
City of Ottawa,Ottawa,Canada,North America,Public,,2017,Absolute target,Total,2012,5420000,80,2050,,,,934243,2016,"(45.42153, -75.697193)"
City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Absolute target,Total,1990,765920,20,2020,,,2007 goals exceeded. New goals set April 2016. The City will comply with all State requirements and targets.,66478,2017,"(37.4419, -122.143)"
City of Palo Alto,Palo Alto,USA,North America,Public,,2017,Absolute target,Total,1990,765920,80,2030,,,,66478,2017,"(37.4419, -122.143)"
City of Parañaque,Parañaque,Philippines,South Asia and Oceania,Public,,2017,Absolute target,,,,,,,,,665822,2015,"(14.479309, 121.019823)"
City of Paris,Paris,France,Europe,Public,C40,2017,Absolute target,Total,2004,6259429,25,2020,,,to respect the european objectives by 2020,2265886,2015,"(48.856614, 2.3522219)"
City of Paris,Paris,France,Europe,Public,C40,2017,Absolute target,Total,2004,6259429,75,2050,,,,2265886,2015,"(48.856614, 2.3522219)"
City of Paris,Paris,France,Europe,Public,C40,2017,Absolute target,Buildings,2004,6259429,40,2030,,,,2265886,2015,"(48.856614, 2.3522219)"
"City of Park City, UT","Park City, UT",USA,North America,Public,,2017,Absolute target,Total,Other,16698,100,2032,,,Target date = 2032 community-wide,7873,2012,"(40.6461, -111.498)"
City of Philadelphia,Philadelphia,USA,North America,Public,C40,2017,Absolute target,Total,2006,21.1,80,2050,,,,1555072,2015,"(39.952335, -75.163789)"
"City of Piedmont, CA","Piedmont, CA",USA,North America,Public,,2017,Absolute target,,2005,,15,2020,,,,11082,2013,"(37.8244, -122.2316)"
City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Absolute target,Total,2003,,20,2025,,,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,305704,2016,"(40.4406248, -79.9958864)"
City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Absolute target,Total,2003,,50,2030,,,,305704,2016,"(40.4406248, -79.9958864)"
City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Absolute target,Buildings,2003,,50,2030,,,,305704,2016,"(40.4406248, -79.9958864)"
City of Pittsburgh,Pittsburgh,USA,North America,Public,,2017,Absolute target,Transport,2003,,50,2030,,,,305704,2016,"(40.4406248, -79.9958864)"
City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Absolute target,Buildings,2008,267,20,2020,,,,185937,2011,"(42.43042, 19.259364)"
City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Absolute target,Transport,2008,299,20,2020,,,,185937,2011,"(42.43042, 19.259364)"
City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Absolute target,Other: Public lighting,2008,5,20,2020,,,,185937,2011,"(42.43042, 19.259364)"
"City of Port Allen, LA","Port Allen, LA",USA,North America,Public,,2017,Absolute target,,,,,,,,,5150,2014,"(30.4475, -91.2073)"
"City of Portland, OR","Portland, OR",USA,North America,Public,C40,2017,Absolute target,Total,1990,8989869,80,2050,,,,619360,2014,"(45.52, -122.6819)"
City of Porto,Porto,Portugal,Europe,Public,,2017,Absolute target,Total,2004,1300000,45,2020,,,,238954,2011,"(41.1579438, -8.6291053)"
"City of Prince George, BC","Prince George, BC",Canada,North America,Public,,2017,Absolute target,Total,2002,660300,2,2012,,,"City has not set new targets at this time, working on them for the near future.",74003,2016,"(53.917064, -122.749669)"
City of Providence,Providence,USA,North America,Public,,2017,Absolute target,Total,2010,2652837,100,2050,,,,178562,2014,"(41.824, -71.4128)"
City of Reykjavík,Reykjavík,Iceland,Europe,Public,,2017,Absolute target,,2007,,35,2020,,,,122460,2016,"(64.12652, -21.81744)"
City of Reykjavík,Reykjavík,Iceland,Europe,Public,,2017,Absolute target,,2007,,73,2050,,,,122460,2016,"(64.12652, -21.81744)"
"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Absolute target,,2005,,15,2020,,,,107571,2013,"(37.9358, -122.3477)"
"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Absolute target,,1990,,40,2030,,,,107571,2013,"(37.9358, -122.3477)"
"City of Richmond, CA","Richmond, CA",USA,North America,Public,,2017,Absolute target,,1990,,80,2050,,,,107571,2013,"(37.9358, -122.3477)"
"City of Richmond, VA","Richmond, VA",USA,North America,Public,,2017,Absolute target,,2008,,80,2050,,,,220289,2015,"(37.540725, -77.436048)"
City of Roanoke,Roanoke,USA,North America,Public,,2017,Absolute target,,,,,,,,,98465,2013,"(37.271, -79.9414)"
City of Rochester,Rochester,USA,North America,Public,,2017,Absolute target,Total,2010,1900000,40,2030,,,"Source: Rochester Climate Action Plan, page 32",210563,2010,"(43.161, -77.6109)"
City of Sacramento,Sacramento,USA,North America,Public,,2017,Absolute target,,2005,,15,2020,,,,490712,2015,"(38.5816, -121.4944)"
City of Sacramento,Sacramento,USA,North America,Public,,2017,Absolute target,,2005,,49,2035,,,,490712,2015,"(38.5816, -121.4944)"
City of Sacramento,Sacramento,USA,North America,Public,,2017,Absolute target,,2005,,83,2050,,,,490712,2015,"(38.5816, -121.4944)"
"City of Salem, MA",#N/A,#N/A,#N/A,Public,,2017,Absolute target,,,,,,,,,,#N/A,
City of San Diego,San Diego,USA,North America,Public,,2017,Absolute target,Total,2010,12984993,50,2035,,,,1394928,2015,"(32.718146, -117.1701)"
City of San Diego,San Diego,USA,North America,Public,,2017,Baseline scenario (business as usual) target,,2010,12984993,,2035,16715020,,,1394928,2015,"(32.718146, -117.1701)"
City of San Francisco,San Francisco,USA,North America,Public,C40,2017,Absolute target,Total,1990,6201949,80,2050,,,,864816,2016,"(37.7749295, -122.4194155)"
City of San Francisco,San Francisco,USA,North America,Public,C40,2017,Absolute target,Total,1990,6201949,40,2025,,,,864816,2016,"(37.7749295, -122.4194155)"
City of San Francisco,San Francisco,USA,North America,Public,C40,2017,Absolute target,Total,1990,6201949,25,2017,,,,864816,2016,"(37.7749295, -122.4194155)"
City of San José,San José,USA,North America,Public,,2017,Absolute target,,,,,,,,"The Envision San Jose 2040 General Plan, consistent with State of California goals, is to reduce greenhouse gas emissions to 1990 levels, and current acts as San Jose's Climate Action Plan.  San Jose is also in the process of coordinating with the County of Santa Clara to develop a new municipal Climate Action Plan.  San Jose is also in the process of developing a separate Greenhouse Gas Reduction Strategy Policy.",1042094,2016,"(37.3382, -121.8863)"
"City of San Leandro, CA","San Leandro, CA",USA,North America,Public,,2017,Absolute target,Total,2005,675800,25,2020,,,"Note this is an updated baseline from the 2010 GHG Emissions Inventory Update, dated January 2014",88441,2015,"(37.72493, -122.156077)"
"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,Public,,2017,Absolute target,Total,1990,427280,30,2020,,,Reduce community-wide greenhouse gas emissions 30% by 2020 and 80% by 2050 (compared to 1990 levels).,64220,2015,"(36.974117, -122.030796)"
"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,Public,,2017,Absolute target,Total,1990,427280,80,2050,,,Reduce community-wide greenhouse gas emissions 30% by 2020 and 80% by 2050 (compared to 1990 levels).,64220,2015,"(36.974117, -122.030796)"
City of Santa Monica,Santa Monica,USA,North America,Public,,2017,Absolute target,Total,1990,1386640,15,2015,,,,92000,2014,"(34.0219, -118.4814)"
City of Santa Monica,Santa Monica,USA,North America,Public,,2017,Absolute target,Total,1990,1386640,80,2050,,,,92000,2014,"(34.0219, -118.4814)"
City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Absolute target,Total,2014,3852171,15,Other: 2023,,,,265300,2016,"(52.133214, -106.670046)"
City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Absolute target,Total,2014,3852171,80,2050,,,,265300,2016,"(52.133214, -106.670046)"
City of Seattle,Seattle,USA,North America,Public,C40,2017,Absolute target,Total,2008,3647000,100,2050,,,Our long-term goals are: 58% reduction by 2030 Zero net emissions by 2050.,662400,2015,"(47.6062, -122.3321)"
City of Shenzhen,Shenzhen,China,East Asia,Public,C40,2017,Base year intensity target,Other: Total city-wide emissions,2005,1.48,45,,,Metric tonnes of CO2e per unit GDP,,13000000,2016,"(22.917478, 113.813461)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: 5 gases other than C2,2005,410000,22,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
"City of Somerville, MA","Somerville, MA",USA,North America,Public,,2017,Absolute target,Total,2014,609561,100,2050,,,"Somerville has a carbon neutrality by 2050 goal.  The exact technical definition of carbon neutrality, for accounting purposes, has not yet been finalized.",78900,2014,"(42.393449, -71.082647)"
City of St Louis,St Louis,USA,North America,Public,,2017,Absolute target,Total,2005,8081418,80,2050,,,,319294,2010,"(38.627, -90.1994)"
City of Stockholm,Stockholm,Sweden,Europe,Public,C40,2017,Absolute target,Total,1990,3668000,100,2040,,,City-wide emissions,923516,2015,"(59.3293235, 18.0685808)"
City of Sydney,Sydney,Australia,South Asia and Oceania,Public,C40,2017,Absolute target,Total,2005,5920000,70,2030,,,Baseline emissions were calculated based in GPC Basic+ S3 methodology,210931,2016,"(-33.8674869, 151.2069902)"
"City of Takoma Park, MD","Takoma Park, MD",USA,North America,Public,,2017,Absolute target,,2012,94572,80,2050,,,"Takoma Park's previous baseline, 2000 was completed under a different protocol and advances in measurement and formula have made it hard to compare 2000's data to today's current methodology. The 2000 figure was 119,341 based on the older protocol. 			",17721,2013,"(38.9779, -77.0075)"
City of Toronto,Toronto,Canada,North America,Public,C40,2017,Absolute target,Total,1990,27051617,30,2020,,,,2753100,2011,"(43.653226, -79.3831843)"
City of Toronto,Toronto,Canada,North America,Public,C40,2017,Absolute target,Total,,27051617,80,2050,,,"TransformTO (yet to be adopted fully by Council, will update this Plan with an interim target in 2030)",2753100,2011,"(43.653226, -79.3831843)"
City of Turku,Turku,Finland,Europe,Public,,2017,Absolute target,Total,2013,970000,100,2040,,,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040. In 2013 city-wide emissions were 1110 kt CO2-e, while carbon sinks were approx. 140 kt CO2-e.			",187000,2016,"(60.4518126, 22.2666303)"
City of Vancouver,Vancouver,Canada,North America,Public,C40,2017,Absolute target,Total,2007,2805000,33,2020,,,See the Greenest City Action Plan for details.,631486,2016,"(49.261226, -123.1139268)"
City of Vancouver,Vancouver,Canada,North America,Public,C40,2017,Absolute target,Buildings,2007,1300000,20,2020,,,See the Greenest City Action Plan for details.,631486,2016,"(49.261226, -123.1139268)"
City of West Hollywood,West Hollywood,USA,North America,Public,,2017,Absolute target,,2008,,25,2035,,,The target is 20-25% over 2008 levels. The City will update this goal to reflect California law when it updates the CAP in 2017.,34399,2010,"(34.09, -118.3617)"
City of West Palm Beach,West Palm Beach,USA,North America,Public,,2017,Absolute target,Total,2013,1484767,100,2050,,,,106779,2016,"(26.715342, -80.053375)"
City of West Palm Beach,West Palm Beach,USA,North America,Public,,2017,Absolute target,Total,2013,1484767,25,2025,,,,106779,2016,"(26.715342, -80.053375)"
City of Windsor,Windsor,Canada,North America,Public,,2017,Base year intensity target,Other: Total,2014,9,40,,,Metric tonnes of CO2e per capita,Reduce GHG emissions by 40 per cent by 2041 from 8.8t CO2e per capita in 2014.,217188,2016,"(42.314937, -83.036363)"
City of Winnipeg,Winnipeg,Canada,North America,Public,,2017,Absolute target,Total,1998,5257324,6,,,,No firm target date or action plan. We are currently soliciting applications from third-party consultants to assist the city with formulating an action plan.,735600,2016,"(49.8997541, -97.1374937)"
City of Wroclaw,Wroclaw,Poland,Europe,Public,,2017,Absolute target,Total,1990,4422676,21,2020,,,,635759,2015,"(51.107885, 17.038538)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Total,2005,19540000,16,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: Residential,2005,4390000,21,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: Commercial,2005,3350000,7,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: Industries,2005,2950000,8,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: Energy Industries,2005,3680000,4,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Transport,2005,4340000,50,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Waste,2005,430000,2,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Yokohama,Yokohama,Japan,East Asia,Public,C40,2017,Absolute target,Other: Absorption through forests and tree planting,2005,,,2020,,,,3731096,2017,"(35.4437078, 139.6380256)"
City of Zaragoza,Zaragoza,Spain,Europe,Public,,2017,Absolute target,,2010,,20,2020,,,,702564,2016,"(41.608629, -0.887012)"
Ciudad de Mendoza,Mendoza,Argentina,Latin America,Public,,2017,Absolute target,,,,,,,,,114822,2010,"(-32.889459, -68.845839)"
Communauté urbaine du Grand Nancy,Nancy,France,Europe,Public,,2017,Absolute target,,1990,,20,2020,,,,265000,2014,"(48.692054, 6.184417)"
Comune di Bolzano,Bolzano,Italy,Europe,Public,,2017,Absolute target,,2010,,23,2020,,,,106397,2015,"(46.499681, 11.356576)"
Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Absolute target,Total,2007,,25.5,2020,,,,133155,2015,"(44.8357395, 11.6189949)"
Comune di Firenze,Firenze,Italy,Europe,Public,,2017,Absolute target,Total,2005,2519980,21,2020,,,adopted in 2011,377635,2017,"(39.627269, -90.610682)"
Comune di Firenze,Firenze,Italy,Europe,Public,,2017,Absolute target,Total,2005,2519980,35,2020,,,after the monitoring 2014,377635,2017,"(39.627269, -90.610682)"
Comune di Firenze,Firenze,Italy,Europe,Public,,2017,Absolute target,Total,2005,2519980,40,2030,,,adopted in 2015 with SCP,377635,2017,"(39.627269, -90.610682)"
Comune di Firenze,Firenze,Italy,Europe,Public,,2017,Absolute target,Total,2005,2519980,80,2050,,,adopted in 2015 with SCP,377635,2017,"(39.627269, -90.610682)"
Comune di Genova,Genova,Italy,Europe,Public,,2017,Absolute target,,2005,,23,2020,,,,583601,2016,"(44.347961, 9.318415)"
Comune di Milano,Milano,Italy,Europe,Public,C40,2017,Absolute target,Total,2005,7418000,20,2020,,,,1359905,2015,"(45.802578, 9.086356)"
Comune di Monza,Monza,Italy,Europe,Public,,2017,Absolute target,Total,2005,541850,24.8,2020,,,,122955,2016,"(45.831487, 9.0371)"
Comune di Napoli,Napoli,Italy,Europe,Public,,2017,Absolute target,,2005,,25,2020,,,,960000,2011,"(40.8419943, 14.2513831)"
Comune di Olbia,Olbia,Italy,Europe,Public,,2017,Absolute target,,2009,,25.23,2020,,,,59977,2016,"(41.882316, 12.505936)"
Comune di Oristano,Oristano,Italy,Europe,Public,,2017,Baseline scenario (business as usual) target,Public buildings,2016,,,2020,,,,31630,2015,"(39.720664, 8.898007)"
Comune di Padova,Padova,Italy,Europe,Public,,2017,Absolute target,Total,2005,,20,2020,,,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.",210000,2017,"(45.4064, -11.8768)"
Comune di Parma,Parma,Italy,Europe,Public,,2017,Absolute target,Total,2004,,20,2020,,,Targeting to continue monitoring by 2015,194000,2017,"(44.8015, 10.3279)"
Comune di Parma,Parma,Italy,Europe,Public,,2017,Base year intensity target,Other: Total,2004,6,20,,,Metric tonnes of CO2e per capita,,194000,2017,"(44.8015, 10.3279)"
Comune di Piacenza,Piacenza,Italy,Europe,Public,,2017,Absolute target,,1990,,20.4,2020,,,The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.,102269,2014,"(45.0519969, 9.6926451)"
Comune di Ravenna,Ravenna,Italy,Europe,Public,,2017,Absolute target,,2007,,23.9,2020,,,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,391414,2016,"(41.913028, 12.518037)"
Comune di Udine,Udine,Italy,Europe,Public,,2017,Absolute target,,2006,,20,2020,,,,99528,2013,"(46.0667, 13.2333)"
Comune di Venezia,Venezia,Italy,Europe,Public,C40,2017,Absolute target,Total,2005,1494744,23,2020,,,"the baseline inventory is calculated under the Covenant of Mayors rules, it includes private and public buildings, private and public transports, public lighting. It excludes big ships, flight, power plants >20MW.",261905,2016,"(45.4332515, 12.3210704)"
District of Columbia,"Washington, DC",USA,North America,Public,C40,2017,Absolute target,Total,2006,10101895,80,2032,,,,681170,2016,"(38.9071923, -77.0368707)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Stationary energy (buildings),2015,1988306,,2040,3503458,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Transportation,2015,3004296,,2040,5293629,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Waste,2015,766587,,2040,1348291,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Residential buildings,2015,897109,,2040,1580735,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Public buildings,2015,453334,,2040,798789,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Commercial buildings,2015,0,,2040,0,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Industrial buildings,2015,635118,,,1119098,,,2239191,2010,"(-0.2333, -78.5167)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,Public,C40,2017,Baseline scenario (business as usual) target,Wastewater,2015,0,,,0,,,2239191,2010,"(-0.2333, -78.5167)"
Dublin City Council,Dublin,Ireland,Europe,Public,,2017,Absolute target,,2006,,20,2020,,,,527612,2011,"(53.344479, -6.270843)"
Egedal Municipality,Egedal,Denmark,Europe,Public,,2017,Absolute target,Total,2009,268000,7,2020,,,"The municipality are increasing in terms of citizens, business, buldings,highways etc.",42000,2015,"(55.795045, 12.238733)"
Elsinore Municipality,Elsinore,Denmark,Europe,Public,,2017,Absolute target,Total,2008,415000,20,2020,,,"As a signatory of Covenant of Mayors (now combined with Compact of Mayors), Elsinore Municipality made a SEAP and committed itself to reduce the CO2eq emissions by at least 20 by 2020.",61632,2015,"(56.0308, 12.5921)"
Elsinore Municipality,Elsinore,Denmark,Europe,Public,,2017,Absolute target,Total,2008,415000,85,2030,,,Maximum 1 ton CO2eq per citizen by 2030. That is a percentage reduction target of around 85.,61632,2015,"(56.0308, 12.5921)"
Elsinore Municipality,Elsinore,Denmark,Europe,Public,,2017,Absolute target,Total,2008,415000,100,2050,,,Carbon neutral by 2050 at the latest.,61632,2015,"(56.0308, 12.5921)"
Fafe,Fafe,Portugal,Europe,Public,,2017,Absolute target,Total,2008,38991,21,2020,,,,49351,2015,"(41.4508217, -8.1728619)"
Fredensborg Kommune,Fredensborg,Denmark,Europe,Public,,2017,Absolute target,Total,2010,,25,2020,,,In 2016 and 2017 a methodology change to the GPC-stand has been on the way. The baseline year emissions will possible be converted to this standard.,40112,2016,"(55.9747, 12.4058)"
Fredensborg Kommune,Fredensborg,Denmark,Europe,Public,,2017,Absolute target,Total,2010,,100,2050,,,In 2016 and 2017 a methodology change to the GPC-stand has been on the way. The baseline year emissions will possible be converted to this standard.,40112,2016,"(55.9747, 12.4058)"
Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Absolute target,Total,2010,547000,100,2030,,,"Fossil energy consumption related to private cars represent 40% of total energy consumption in the transport sector in the municipality. Since Frederikshavn Municipality cannot affect the conversion of private cars fossil energy, neither fossil energy consumption of train operations, shipping and aircraft transportation, it is a political decision that there must be produced as much renewable energy in the municipality's geographical boundary that corresponds to fossil energy consumption of private cars, trains, shipping and aircraft transport.",60379,2015,"(57.442711, 10.521006)"
Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,Public,,2017,Absolute target,,1990,,80,2050,,,,1787408,2015,"(53.5510846, 9.9936818)"
Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,Public,,2017,Absolute target,,1990,,50,2030,,,,1787408,2015,"(53.5510846, 9.9936818)"
Gdansk,Gdańsk,Poland,Europe,Public,,2017,Absolute target,,2013,,21,2020,,,,461489,2014,"(54.352, 18.6466)"
Gemeente Groningen,Groningen,Netherlands,Europe,Public,,2017,Absolute target,Total,2006,900000,100,2035,,,,200500,2016,"(53.232386, 6.551335)"
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,Public,C40,2017,Absolute target,Total,1990,23700000,25,2020,,,Same as national target,624000,2014,"(51.9163716, 4.4509382)"
Gladsaxe Kommune,Gladsaxe,Denmark,Europe,Public,,2017,Absolute target,Total,2007,499740,40,2020,,,,67347,2015,"(55.733461, 12.488686)"
